 property_id,tile_url,latitude,longitude,min_price,max_price,beds_range, prop_display_name,phone_number,bustop_within_100,inside_campus,fitness_within_200m,fitness_within_500m,fitness_within_1000m,market_within_200m,market_within_500m,market_within_1000m,within_unvCen_1km,within_unvCen_2km,within_unvCen_3km
3372342,'https://d2cc5bro5bu049.cloudfront.net/88629/28715678/tile.jpeg',43.075476,-89.436736,2350,, '2 BR',2820 Marshall Ct,6082331616,no,no,no,no,no,no,no,yes,no,no,yes
745070,'https://d2cc5bro5bu049.cloudfront.net/15264/7006936/tile.jpg',43.076448,-89.391155,1950,, '3 BR',139 W. Gilman Street,6082571000,no,no,no,no,yes,no,yes,yes,no,no,yes
1263961,'https://d2cc5bro5bu049.cloudfront.net/127/10697272/tile.jpg',43.070688,-89.408010,1705,, '2 BR',1309-1311 W Dayton,6082553933,no,no,no,no,yes,no,no,no,yes,yes,yes
741144,'https://d2cc5bro5bu049.cloudfront.net/15264/6342417/tile.jpg',43.070874,-89.390378,1990,, '4 BR',436 W. Washington Avenue,6082571000,yes,no,yes,yes,yes,no,yes,yes,no,no,yes
762489,'https://d2cc5bro5bu049.cloudfront.net/19664/6420199/tile.jpg',43.069658,-89.389729,3650,, '6 BR',21/23 S Bassett St,6082560525,yes,no,yes,yes,yes,no,yes,yes,no,no,yes
745861,'https://d2cc5bro5bu049.cloudfront.net/15264/6343687/tile.jpg',43.077820,-89.380323,975,, '1 BR',410 E. Washington Avenue,6082571000,no,no,yes,yes,yes,no,no,yes,no,no,no
760566,'https://d2cc5bro5bu049.cloudfront.net/19875/28782288/tile.jpg',43.070232,-89.445005,1310,, '3 BR',313-315 Eugenia Ave.,6088319420,no,no,no,no,no,no,no,yes,no,no,no
767530,'https://d2cc5bro5bu049.cloudfront.net/19655/12345189/tile.jpg',43.068168,-89.388518,2750,, '5 BR',210 S Bassett St,6085772401,yes,no,no,yes,yes,no,no,yes,no,no,yes
1283945,'https://d2cc5bro5bu049.cloudfront.net/127/10907729/tile.jpg',43.078032,-89.383795,2530,, '5 BR',207 N Hamilton Street,6084415625,yes,no,no,yes,yes,no,no,yes,no,no,no
1283939,'https://d2cc5bro5bu049.cloudfront.net/127/10907729/tile.jpg',43.077945,-89.383912,1390,, '2 BR',205 N Hamilton,6084415625,yes,no,yes,yes,yes,no,no,yes,no,no,no
1263770,'https://d2cc5bro5bu049.cloudfront.net/127/10694734/tile.jpg',43.078773,-89.385672,2185,, '4 BR',125 E Gorham,6084415625,no,no,no,yes,yes,no,no,yes,no,no,yes
1285391,'https://d2cc5bro5bu049.cloudfront.net/127/10922599/tile.jpg',43.078199,-89.384058,1690,, '3 BR',211 N Hamilton,6084415625,yes,no,no,yes,yes,no,no,yes,no,no,no
1663861,'https://d2cc5bro5bu049.cloudfront.net/12168/28770323/tile.png',43.098675,-89.365883,1200,, '2 BR',1917 Sherman Ave.,6085777900,no,no,no,no,yes,no,no,no,no,no,no
1262146,'https://d2cc5bro5bu049.cloudfront.net/127/10659883/tile.jpg',43.078458,-89.385953,1840,, '4 BR',111 E Gorham,6084415625,yes,no,no,yes,yes,no,no,yes,no,no,yes
1263769,'https://d2cc5bro5bu049.cloudfront.net/127/10679946/tile.jpg',43.078626,-89.385715,1020,, '1 BR',123 E Gorham,6084415625,no,no,no,yes,yes,no,no,yes,no,no,yes
1273839,'https://d2cc5bro5bu049.cloudfront.net/127/10697345/tile.jpg',43.078253,-89.383574,1750,2250, '3 - 4 BR',134 N Butler,6084415625,yes,no,no,yes,yes,no,no,yes,no,no,no
767809,'https://d2cc5bro5bu049.cloudfront.net/19875/28782278/tile.jpg',43.070045,-89.445095,0,, '2 BR',311 Eugenia Ave,6088319420,no,no,no,no,no,no,no,yes,no,no,no
743701,'https://d2cc5bro5bu049.cloudfront.net/12231/6342304/tile.jpg',43.070540,-89.384298,1490,2500, '3 - 5 BR',314 S Hamilton St,6082220365,yes,no,no,yes,yes,no,no,yes,no,no,no
3391660,'https://d2cc5bro5bu049.cloudfront.net/88998/30369001/tile.jpg',43.079848,-89.388316,665,, 'Studio',529 N Pinckney St,,no,no,no,no,yes,no,no,yes,no,no,yes
1184,'https://d2cc5bro5bu049.cloudfront.net/292/12011/tile.jpg',43.068001,-89.401398,0,, '1 - 5 BR',Park Regent Apartments,6082162251,yes,no,no,no,yes,no,no,yes,no,yes,yes
3313145,'https://d2cc5bro5bu049.cloudfront.net/87580/27967220/tile.jpg',43.080742,-89.362092,1700,, '2 BR',1139 Rutledge St,6127186755,no,no,no,no,no,no,no,no,no,no,no
3379788,'https://d2cc5bro5bu049.cloudfront.net/88790/28959863/tile.jpg',43.031707,-89.420373,1950,, '3 BR',2508 Greenway View,6082989241,no,no,no,yes,yes,no,no,no,no,no,no
766406,'https://d2cc5bro5bu049.cloudfront.net/19703/7072620/tile.jpg',43.083661,-89.478611,1150,, '2 BR',Ascot Arms,6085750174,yes,no,no,no,no,no,no,no,no,no,no
2073163,'https://d2cc5bro5bu049.cloudfront.net/70624/30353580/tile.jpg',43.076755,-89.396576,0,, '1 BR',Fabulous Summer Lakefront One Bedroom Apartment Near Terrace &amp; Memorial Union,6468950697,no,no,no,yes,yes,no,yes,yes,no,yes,yes
741873,'https://d2cc5bro5bu049.cloudfront.net/70639/20162380/tile.jpg',43.072662,-89.420407,925,1195, '1 - 2 BR',2019 University Ave,6086303222,yes,no,no,yes,yes,no,no,yes,yes,yes,yes
743110,'https://d2cc5bro5bu049.cloudfront.net/12773/6343078/tile.jpg',43.072325,-89.420165,1495,, '3 BR',2014 Kendall Ave,6086303222,no,no,no,yes,yes,no,no,yes,yes,yes,yes
3391940,'https://d2cc5bro5bu049.cloudfront.net/89004/30372580/tile.jpg',43.072883,-89.456528,1500,, '2 BR',Venture - Luxury,,yes,no,no,no,no,no,yes,yes,no,no,no
763229,'https://d2cc5bro5bu049.cloudfront.net/19792/25368933/tile.jpg',43.084898,-89.376785,910,, '1 BR',330 Norris Court,6082510113,yes,no,no,no,yes,no,yes,yes,no,no,no
1296602,'https://d2cc5bro5bu049.cloudfront.net/110/25890965/tile.jpg',43.072032,-89.390234,1850,, '3 BR',403 W. Mifflin St.,6082569500,no,no,yes,yes,yes,yes,yes,yes,no,no,yes
234,'https://d2cc5bro5bu049.cloudfront.net/162/7038/tile.jpeg',43.064499,-89.404404,1295,, '2 BR',216 S Mills St,6082518777,yes,no,no,no,yes,no,no,no,no,yes,yes
11,'https://d2cc5bro5bu049.cloudfront.net/162/6831/tile.jpeg',43.086399,-89.374001,1645,, '5 BR',1020 E Johnson St,6082518777,no,no,no,no,no,no,no,yes,no,no,no
350,'https://d2cc5bro5bu049.cloudfront.net/162/17850867/tile.jpg',43.073799,-89.393303,975,1800, 'Studio - 3 BR',420 West,6085120735,no,no,no,no,yes,no,yes,yes,no,no,yes
258,'https://d2cc5bro5bu049.cloudfront.net/162/3077089/tile.jpeg',43.078098,-89.386803,785,, '1 BR',25 E Gorham St,6082518777,yes,no,no,yes,yes,no,no,yes,no,no,yes
401,'https://d2cc5bro5bu049.cloudfront.net/162/3066973/tile.jpeg',43.068100,-89.389397,895,, '1 BR',520 W Doty St,6082518777,yes,no,no,yes,yes,no,no,yes,no,no,yes
