Longitude,Latitude,OBJECTID,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,Route,primary_street,address_range,cross_location
-89.40588221,43.07230134,6497,490,490,N Charter & W Johnson (SB),This stop (#0490) is southbound on the 300 block of Charter St (n) nearside Johnson St (w),43.072299,-89.405883,"11, 27, 28, 38, 44",N Charter,300,W Johnson
-89.38193125,43.05571536,6498,492,492,John Nolen & Lakeside (SB),This stop (#0492) is southbound on the 300 block of John Nolen Dr farside Lakeside St (e),43.055713,-89.381932,"11, 12",John Nolen,300,Lakeside
-89.38549228,43.04415035,6499,496,496,Koster & Ardmore (WB),This stop (#0496) is westbound on the 198 block of Koster St nearside Ardmore Dr,43.044148,-89.385493,13,Koster,198,Ardmore
-89.4037563,43.03891633,6500,499,499,Fish Hatchery & W Badger (NB),This stop (#0499) is northbound on the 2499 block of Fish Hatchery Rd farside Badger Rd (w),43.038914,-89.403757,"4, 47, 75",Fish Hatchery,2499,W Badger
-89.3937222,43.07473435,6501,505,505,State & W Gilman (EB),This stop (#0505) is eastbound on the 501 block of State St nearside Gilman St (w),43.074732,-89.393723,"4, 6, 29",State,501,W Gilman
-89.3954992,43.07497635,6502,506,506,State & N Frances (WB),This stop (#0506) is westbound on the 600 block of State St farside Frances St (n),43.074974,-89.3955,"4, 6, 29, 81, 82",State,600,N Frances
-89.39102021,43.06998835,6503,512,512,W Washington & N Bassett (WB),This stop (#0512) is westbound on the 500 block of W Washington Ave farside Bassett St (n),43.069986,-89.391021,"5, 27, 47, 75",W Washington,500,N Bassett
-89.39587322,43.06671334,6504,516,516,W Washington & Regent (WB),This stop (#0516) is westbound on the 700 block of W Washington Ave farside Regent St,43.066711,-89.395874,"5, 47",W Washington,700,Regent
-89.39880225,43.05721434,6505,519,519,S Park & Fish Hatchery (NB),This stop (#0519) is northbound on the 999 block of Park St (s) farside Fish Hatchery Rd,43.057212,-89.398803,"4, 5, 13, 44, 47",S Park,999,Fish Hatchery
-89.38893522,43.06863635,6506,520,520,S Bassett & W Doty (SB),This stop (#0520) is southbound on the 198 block of Bassett St (s) nearside Doty St (w),43.068634,-89.388936,"1, 10, 19, 38, 82",S Bassett,198,W Doty
